Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Home page,NEWR-3,10061,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:47 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,,10079,Home,Done
Login,NEWR-2,10060,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,,10079,Home,Done
Emi,NEWR-1,10059,Story,Ready to realse,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:55 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,NEWR Sprint 1,,,,,,,,,,,10081,Payment,In Progress
Kids,NEW-17,10058,Story,Development,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:36 PM,18/Oct/22 2:36 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,,,,,,,,,10056,View Page,In Progress
News,NEW-16,10057,Story,Development,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:35 PM,18/Oct/22 2:35 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,,,,,,,,,10056,View Page,In Progress
View Page,NEW-15,10056,Epic,To Do,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:27 PM,18/Oct/22 2:27 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,,,,,,,,,,Done
Payment,NEW-14,10055,Epic,To Do,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:26 PM,18/Oct/22 2:26 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,Done
Home Page,NEW-13,10054,Epic,To Do,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:26 PM,18/Oct/22 2:26 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,,,,,,,,,,,Done
UPI,NEW-12,10053,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:25 PM,18/Oct/22 2:34 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009x:,,NEW Sprint 4,,,,,,,,,,,10055,Payment,In Progress
NetBanking,NEW-11,10052,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:25 PM,18/Oct/22 2:34 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,NEW Sprint 4,,,,,,,,,,,10055,Payment,In Progress
Credit/Debit Card,NEW-10,10051,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:33 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009n:,,NEW Sprint 3,,,,,,,,,,,10055,Payment,In Progress
Payment,NEW-9,10050,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:33 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009l:,,NEW Sprint 3,,,,,,,,,,,10055,Payment,In Progress
Plans,NEW-8,10049,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:32 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,NEW Sprint 2,,,,,,,,,,,10056,View Page,In Progress
Subscribe,NEW-7,10048,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:32 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00096:,,NEW Sprint 2,,,,,,,,,,,10056,View Page,In Progress
Sports,NEW-6,10047,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:32 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008u:,,NEW Sprint 2,,,,,,,,,,,10054,Home Page,In Progress
Movies,NEW-5,10046,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:32 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009k:,,NEW Sprint 2,,,,,,,,,,,10054,Home Page,In Progress
Search,NEW-4,10045,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:24 PM,18/Oct/22 2:29 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00083:,,NEW Sprint 1,,,,,,,,,,,10054,Home Page,In Progress
Logout,NEW-3,10044,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:23 PM,18/Oct/22 2:29 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00081:,,NEW Sprint 1,,,,,,,,,,,10054,Home Page,In Progress
Login,NEW-2,10043,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:23 PM,18/Oct/22 2:29 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00085:,,NEW Sprint 1,,,,,,,,,,,10054,Home Page,In Progress
Home Page,NEW-1,10042,Story,Ready to reales,NEW,new,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:23 PM,18/Oct/22 2:29 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,NEW Sprint 1,,,,,,,,,,,10054,Home Page,In Progress
Aaa,MS-42,10041,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:20 PM,18/Oct/22 2:20 PM,27/Feb/23 1:52 PM,18/Oct/22 2:20 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,,,,Done
Bank details,MS-41,10040,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:20 PM,18/Oct/22 2:21 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00077:,,MS Sprint 3,,,,,,,,,,,10033,Refund,In Progress
Items to return,MS-40,10039,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:16 PM,18/Oct/22 2:21 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00075:,,MS Sprint 3,,,,,,,,,,,10033,Refund,In Progress
Refund,MS-39,10038,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:14 PM,18/Oct/22 2:21 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,MS Sprint 3,,,,,,,,,,,10033,Refund,In Progress
Refund,MS-35,10034,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:07 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,18/Oct/22 2:07 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,,Done
Refund,MS-34,10033,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:06 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,18/Oct/22 2:06 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,Done
bank details,MS-33,10032,Story,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:06 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,18/Oct/22 2:06 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,Done
items to be returned,MS-32,10031,Story,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:05 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,18/Oct/22 2:05 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,Done
Return,MS-31,10030,Story,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,Done,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:05 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,18/Oct/22 2:05 PM,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006b:,,,,,,,,,,,,,,,Done
Share,MS-30,10029,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:30 PM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:9,,MS Sprint 2,,,,,,,,,,,10023,Product Page,In Progress
COD,MS-29,10028,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:28 PM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:00i,,MS Sprint 1,,,,,,,,,,,10024,Payment,In Progress
UPI,MS-28,10027,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:28 PM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00019:,,MS Sprint 2,,,,,,,,,,,10024,Payment,In Progress
Product,MS-27,10026,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:27 PM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:2,,MS Sprint 1,,,,,,,,,,,10023,Product Page,In Progress
Order,MS-26,10025,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:15 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,Done
Payment,MS-25,10024,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:14 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,Done
Product Page,MS-24,10023,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:12 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,Done
home page,MS-23,10022,Epic,ToDo,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:06 PM,18/Oct/22 2:15 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,Done
My Cart,MS-21,10020,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:00 PM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:004,,MS Sprint 1,,,,,,,,,,,10025,Order,In Progress
Order,MS-20,10019,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 12:00 PM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzv:,,MS Sprint 1,,,,,,,,,,,10025,Order,In Progress
EMI,MS-19,10018,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:i,,MS Sprint 2,,,,,,,,,,,10024,Payment,In Progress
Netbanking,MS-18,10017,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:009,,MS Sprint 1,,,,,,,,,,,10024,Payment,In Progress
Credit/Debit Card,MS-17,10016,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:01,,MS Sprint 1,,,,,,,,,,,10024,Payment,In Progress
Wallet,MS-16,10015,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:,,MS Sprint 2,,,,,,,,,,,10024,Payment,In Progress
Payment,MS-15,10014,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:04,,MS Sprint 1,,,,,,,,,,,10024,Payment,In Progress
Compare,MS-14,10013,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001d:,,MS Sprint 2,,,,,,,,,,,10023,Product Page,In Progress
Buy Now,MS-13,10012,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:09,,MS Sprint 1,,,,,,,,,,,10023,Product Page,In Progress
add to cart,MS-12,10011,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:59 AM,18/Oct/22 2:18 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:02,,MS Sprint 1,,,,,,,,,,,10023,Product Page,In Progress
product page,MS-11,10010,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:58 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:0i,,MS Sprint 1,,,,,,,,,,,10023,Product Page,In Progress
mobile,MS-10,10009,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:58 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:i,,MS Sprint 2,,,,,,,,,,,10023,Product Page,In Progress
grocery,MS-9,10008,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:58 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:,,MS Sprint 2,,,,,,,,,,,10022,home page,In Progress
top offers,MS-8,10007,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:58 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:9,,MS Sprint 2,,,,,,,,,,,10022,home page,In Progress
cart,MS-7,10006,Story,Ready to realse,MS,Mysproject,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 11:58 AM,18/Oct/22 2:19 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00003:4,,MS Sprint 1,,,,,,,,,,,10022,home page,In Progress
